กะทุ่มลาย,ต.ลำตาเสา อ.วังน้อย จ.พระนครศรีอยุธยา 13170,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
กกสะตี,ต.วังยาว อ.ด่านซ้าย จ.เลย -,เขตพื้นที่การศึกษาเลย เขต 1
กลาง,ต.นาพึง อ.นาแห้ว จ.เลย -,เขตพื้นที่การศึกษาเลย เขต 1
กกโพธิ์แสนเอี้ยม,ต.ร่องจิก อ.ภูเรือ จ.เลย 42160,เขตพื้นที่การศึกษาเลย เขต 1
กลาง,ต.ปลาบ่า อ.ภูเรือ จ.เลย 42160,เขตพื้นที่การศึกษาเลย เขต 1
กกซ้อ,ต.ทรายขาว อ.วังสะพุง จ.เลย 42130,เขตพื้นที่การศึกษาเลย เขต 2
กกบก,ต.หนองงิ้ว อ.วังสะพุง จ.เลย 42130,เขตพื้นที่การศึกษาเลย เขต 2
กุดโง้งวังเดื่อ,ต.ปากปวน อ.วังสะพุง จ.เลย 42130,เขตพื้นที่การศึกษาเลย เขต 2
กุดแก,ต.ผาน้อย อ.วังสะพุง จ.เลย 42130,เขตพื้นที่การศึกษาเลย เขต 2
กกเกลี้ยง,ต.ผาบิ้ง อ.วังสะพุง จ.เลย 42130,เขตพื้นที่การศึกษาเลย เขต 2
กุดลันน้อยคีรี,ต.โคกขมิ้น อ.วังสะพุง จ.เลย 42130,เขตพื้นที่การศึกษาเลย เขต 2
กองนาง,ต.กองนาง อ.ท่าบ่อ จ.หนองคาย,เขตพื้นที่การศึกษาหนองคาย เขต 1
กวดโคกสว่าง,ต.นาข่า อ.ท่าบ่อ จ.หนองคาย 43110,เขตพื้นที่การศึกษาหนองคาย เขต 1
กำแพงเพชร,ต.โนนสมบูรณ์ อ.บึงกาฬ จ.หนองคาย 43140,เขตพื้นที่การศึกษาหนองคาย เขต 3
กลุ่มพัฒนา,ต.กุดบง อ.โพนพิสัย จ.หนองคาย 43120,เขตพื้นที่การศึกษาหนองคาย เขต 2
กุดบง,ต.กุดบง อ.โพนพิสัย จ.หนองคาย 43120,เขตพื้นที่การศึกษาหนองคาย เขต 2
ก่องขันธ์,ต.นาหนัง อ.โพนพิสัย จ.หนองคาย 43120,เขตพื้นที่การศึกษาหนองคาย เขต 2
กุดแกลบ,ต.นาหนัง อ.โพนพิสัย จ.หนองคาย 43120,เขตพื้นที่การศึกษาหนองคาย เขต 2
กุดสิม,ต.หนองทุ่ม อ.เซกา จ.หนองคาย 43150,เขตพื้นที่การศึกษาหนองคาย เขต 3
กุดแคนโนนมันปลา,ต.หนองหลวง อ.เฝ้าไร่ จ.หนองคาย 43120,เขตพื้นที่การศึกษาหนองคาย เขต 2
กุดซุย,ต.ลาดพัฒนา อ.เมืองมหาสารคาม จ.มหาสารคาม 44000,เขตพื้นที่การศึกษามหาสารคาม เขต 1
กุดแคน,ต.หนองโน อ.เมืองมหาสารคาม จ.มหาสารคาม 44000,เขตพื้นที่การศึกษามหาสารคาม เขต 1
กอกหนองผือ,ต.หนองบัว อ.โกสุมพิสัย จ.มหาสารคาม 44140,เขตพื้นที่การศึกษามหาสารคาม เขต 1
กู่ทอง,ต.กู่ทอง อ.เชียงยืน จ.มหาสารคาม 44160,เขตพื้นที่การศึกษามหาสารคาม เขต 1
กำพี้เหล่ากาเจริญศิลป์,ต.กำพี้ อ.บรบือ จ.มหาสารคาม 44130,เขตพื้นที่การศึกษามหาสารคาม เขต 2
กุดน้ำใส,ต.หนองเม็ก อ.นาเชือก จ.มหาสารคาม 44170,เขตพื้นที่การศึกษามหาสารคาม เขต 2
กระต่ายโนนสวัสดิ์,ต.สันป่าตอง อ.นาเชือก จ.มหาสารคาม 44170,เขตพื้นที่การศึกษามหาสารคาม เขต 2
กระยอมหนองเดิ่น,ต.หนองแสง อ.วาปีปทุม จ.มหาสารคาม 44120,เขตพื้นที่การศึกษามหาสารคาม เขต 2
ก่อ,ต.ดงใหญ่ อ.วาปีปทุม จ.มหาสารคาม 44120,เขตพื้นที่การศึกษามหาสารคาม เขต 2
กุดนาดีโนนลาน,ต.หนองแสน อ.วาปีปทุม จ.มหาสารคาม 44120,เขตพื้นที่การศึกษามหาสารคาม เขต 2
กุดเม็ก,ต.กุดรัง อ.กุดรัง จ.มหาสารคาม 44130,เขตพื้นที่การศึกษามหาสารคาม เขต 1
กุดรัง,ต.กุดรัง อ.กุดรัง จ.มหาสารคาม 44130,เขตพื้นที่การศึกษามหาสารคาม เขต 1
กุดจอก,ต.หนองกุง อ.ชื่นชม จ.มหาสารคาม 44160,เขตพื้นที่การศึกษามหาสารคาม เขต 1
กอกนายูง(คุรุราษฎร์บำรุง),ต.นาโพธิ์ อ.เมืองร้อยเอ็ด จ.ร้อยเอ็ด 45000,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 1
กู่กาสิงห์,ต.กู่กาสิงห์ อ.เกษตรวิสัย จ.ร้อยเอ็ด 45150,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
กอกวิทยาคาร,ต.ดงแดง อ.จตุรพักตรพิมาน จ.ร้อยเอ็ด 45180,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 1
กุดน้ำใส(ผดุงวิทยาคาร),ต.กุดน้ำใส อ.พนมไพร จ.ร้อยเอ็ด 45140,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
กุดแห่,ต.หนองใหญ่ อ.โพนทอง จ.ร้อยเอ็ด 45110,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 3
กุดสระ,ต.สระนกแก้ว อ.โพนทอง จ.ร้อยเอ็ด 45110,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 3
กุดก่วง,ต.วังสามัคคี อ.โพนทอง จ.ร้อยเอ็ด 45110,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 3
กุดขุ่น,ต.รอบเมือง อ.หนองพอก จ.ร้อยเอ็ด 45210,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 3
กุดเต่าวิทยา,ต.กกโพธิ์ อ.หนองพอก จ.ร้อยเอ็ด 45120,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 3
กกตาลดงบังวิทยา,ต.หนองขุ่นใหญ่ อ.หนองพอก จ.ร้อยเอ็ด 45120,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 3
กลางเสลภูมิ,ต.กลาง อ.เสลภูมิ จ.ร้อยเอ็ด 45120,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 3
กุดแข้โนนโพธิ์วิทยา,ต.นางาม อ.เสลภูมิ จ.ร้อยเอ็ด 45120,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 3
กุดเรือ,ต.นางาม อ.เสลภูมิ จ.ร้อยเอ็ด 45120,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 3
กกกุงคุรุราษฎร์พัฒนา,ต.กกกุง อ.เมืองสรวง จ.ร้อยเอ็ด 45220,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
กอก,ต.โพนเมือง อ.อาจสามารถ จ.ร้อยเอ็ด 45160,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
กุดเขียว,ต.บ้านแจ้ง อ.อาจสามารถ จ.ร้อยเอ็ด 45160,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
กลอยโนนสมบูรณ์,ต.หน่อม อ.อาจสามารถ จ.ร้อยเอ็ด 45160,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
กระจายเหล่าสูง,ต.หนองหมื่นถ่าน อ.อาจสามารถ จ.ร้อยเอ็ด 45160,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
กล้วยวิทยา,ต.สวนจิก อ.ศรีสมเด็จ จ.ร้อยเอ็ด 45280,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 1
กอกแก้ว,ต.เด่นราษฎร์ อ.หนองฮี จ.ร้อยเอ็ด 45140,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
กกตาล,ต.บัวขาว อ.กุฉินารายณ์ จ.กาฬสินธุ์ 46110,เขตพื้นที่การศึกษากาฬสินธุ์ เขต 3
กุดฝั่งแดง,ต.เหล่าใหญ่ อ.กุฉินารายณ์ จ.กาฬสินธุ์ 46110,เขตพื้นที่การศึกษากาฬสินธุ์ เขต 3
กลาง,ต.เหล่าไฮงาม อ.กุฉินารายณ์ จ.กาฬสินธุ์ 46110,เขตพื้นที่การศึกษากาฬสินธุ์ เขต 3
กุดกอก,ต.สระพังทอง อ.เขาวง จ.กาฬสินธุ์ 46160,เขตพื้นที่การศึกษากาฬสินธุ์ เขต 3
กุดท่าลือ,ต.ห้วยเม็ก อ.ห้วยเม็ก จ.กาฬสินธุ์,เขตพื้นที่การศึกษากาฬสินธุ์ เขต 2
กอกวิทยาคม,ต.ผาเสวย อ.สมเด็จ จ.กาฬสินธุ์ 46150,เขตพื้นที่การศึกษากาฬสินธุ์ เขต 3
กุดแห่,ต.สำราญใต้ อ.สามชัย จ.กาฬสินธุ์ 46180,เขตพื้นที่การศึกษากาฬสินธุ์ เขต 1
กุดตาใกล้,ต.สายนาวัง อ.นาคู จ.กาฬสินธุ์ 46160,เขตพื้นที่การศึกษากาฬสินธุ์ เขต 3
กกส้มโฮง,ต.ธาตุเชิงชุม อ.เมืองสกลนคร จ.สกลนคร 47000,เขตพื้นที่การศึกษาสกลนคร เขต 1
กุดแข้,ต.ดงชน อ.เมืองสกลนคร จ.สกลนคร 47000,เขตพื้นที่การศึกษาสกลนคร เขต 1
กุงศรี,ต.นาเพียง อ.กุสุมาลย์ จ.สกลนคร 47230,เขตพื้นที่การศึกษาสกลนคร เขต 1
กุดสะกอย,ต.โพธิไพศาล อ.กุสุมาลย์ จ.สกลนคร 47210,เขตพื้นที่การศึกษาสกลนคร เขต 1
กุดฮู,ต.โพธิไพศาล อ.กุสุมาลย์ จ.สกลนคร 47210,เขตพื้นที่การศึกษาสกลนคร เขต 1
กุดแฮดวัฒนราษฎร์ผดุง,ต.กุดบาก อ.กุดบาก จ.สกลนคร 47180,เขตพื้นที่การศึกษาสกลนคร เขต 2
กุดน้ำใส,ต.นาม่อง อ.กุดบาก จ.สกลนคร 47180,เขตพื้นที่การศึกษาสกลนคร เขต 2
กลาง (ผดุงราษฎร์),ต.กุดไห อ.กุดบาก จ.สกลนคร 47270,เขตพื้นที่การศึกษาสกลนคร เขต 2
กลางหนองดินดำ,ต.นาหัวบ่อ อ.พรรณานิคม จ.สกลนคร 47220,เขตพื้นที่การศึกษาสกลนคร เขต 2
กุดน้ำขุ่น,ต.เชิงชุม อ.พรรณานิคม จ.สกลนคร 47130,เขตพื้นที่การศึกษาสกลนคร เขต 2
กุดตะกาบ,ต.วาริชภูมิ อ.วาริชภูมิ จ.สกลนคร 47150,เขตพื้นที่การศึกษาสกลนคร เขต 2
ก่อ,ต.หนองสนม อ.วานรนิวาส จ.สกลนคร 47120,เขตพื้นที่การศึกษาสกลนคร เขต 3
กุดเรือ,ต.นาซอ อ.วานรนิวาส จ.สกลนคร 47120,เขตพื้นที่การศึกษาสกลนคร เขต 3
กุดจิก,ต.นาคำ อ.วานรนิวาส จ.สกลนคร 47120,เขตพื้นที่การศึกษาสกลนคร เขต 3
กุดเรือคำ,ต.กุดเรือคำ อ.วานรนิวาส จ.สกลนคร 47120,เขตพื้นที่การศึกษาสกลนคร เขต 3
กุดจาน,ต.แพด อ.คำตากล้า จ.สกลนคร 47250,เขตพื้นที่การศึกษาสกลนคร เขต 3
กุดจอก,ต.วาใหญ่ อ.อากาศอำนวย จ.สกลนคร 47170,เขตพื้นที่การศึกษาสกลนคร เขต 3
กุดจอกน้อย,ต.วาใหญ่ อ.อากาศอำนวย จ.สกลนคร 47170,เขตพื้นที่การศึกษาสกลนคร เขต 3
กุดจิกนาสมบูรณ์,ต.ค้อใต้ อ.สว่างแดนดิน จ.สกลนคร 47110,เขตพื้นที่การศึกษาสกลนคร เขต 2
กุดแสง(ธาราประชาบำรุง),ต.วัฒนา อ.ส่องดาว จ.สกลนคร 47190,เขตพื้นที่การศึกษาสกลนคร เขต 2
กวนบุ่น,ต.จันทร์เพ็ญ อ.เต่างอย จ.สกลนคร 47260,เขตพื้นที่การศึกษาสกลนคร เขต 1
กุดนาขาม(เชิดชูวิทยาสาร),ต.เจริญศิลป์ อ.เจริญศิลป์ จ.สกลนคร,เขตพื้นที่การศึกษาสกลนคร เขต 3
กลางนาเดื่อ,ต.นาแก้ว อ.โพนนาแก้ว จ.สกลนคร 47230,เขตพื้นที่การศึกษาสกลนคร เขต 1
กกปลาซิวนาโด่,ต.กกปลาซิว อ.ภูพาน จ.สกลนคร 47180,เขตพื้นที่การศึกษาสกลนคร เขต 1
กุรุคุ,ต.กุรุคุ อ.เมืองนครพนม จ.นครพนม 48000,เขตพื้นที่การศึกษานครพนม เขต 1
กล้วย,ต.ขามเฒ่า อ.เมืองนครพนม จ.นครพนม 48000,เขตพื้นที่การศึกษานครพนม เขต 1
กลาง,ต.บ้านกลาง อ.เมืองนครพนม จ.นครพนม 48000,เขตพื้นที่การศึกษานครพนม เขต 1
กลางน้อย,ต.บ้านกลาง อ.เมืองนครพนม จ.นครพนม 48000,เขตพื้นที่การศึกษานครพนม เขต 1
กกไฮ,ต.ดงขวาง อ.เมืองนครพนม จ.นครพนม 48000,เขตพื้นที่การศึกษานครพนม เขต 1
กอก,ต.ปลาปาก อ.ปลาปาก จ.นครพนม 48160,เขตพื้นที่การศึกษานครพนม เขต 1
กุงโกน,ต.หนองฮี อ.ปลาปาก จ.นครพนม 48160,เขตพื้นที่การศึกษานครพนม เขต 1
กุตาไก้,ต.กุตาไก้ อ.ปลาปาก จ.นครพนม 48160,เขตพื้นที่การศึกษานครพนม เขต 1
กุดฉิม,ต.กุดฉิม อ.ธาตุพนม จ.นครพนม 48110,เขตพื้นที่การศึกษานครพนม เขต 1
กลางมูลอ้น,ต.คำพี้ อ.นาแก จ.นครพนม 48130,เขตพื้นที่การศึกษานครพนม เขต 1
กุดน้ำใส,ต.นางัว อ.นาหว้า จ.นครพนม 48180,เขตพื้นที่การศึกษานครพนม เขต 2
กุดโง้ง,ต.มุกดาหาร อ.เมืองมุกดาหาร จ.มุกดาหาร 49000,เขตพื้นที่การศึกษามุกดาหาร เขต 1
กุดแข้,ต.กุดแข้ อ.เมืองมุกดาหาร จ.มุกดาหาร 49000,เขตพื้นที่การศึกษามุกดาหาร เขต 1
กุดแข้ใต้,ต.กุดแข้ อ.เมืองมุกดาหาร จ.มุกดาหาร 49000,เขตพื้นที่การศึกษามุกดาหาร เขต 1
กกตูม,ต.กกตูม อ.ดงหลวง จ.มุกดาหาร 49140,เขตพื้นที่การศึกษามุกดาหาร เขต 1
ก้านเหลืองดง,ต.หนองแคน อ.ดงหลวง จ.มุกดาหาร 49140,เขตพื้นที่การศึกษามุกดาหาร เขต 1
กกไฮโนนน้ำคำ,ต.คำชะอี อ.คำชะอี จ.มุกดาหาร 49110,เขตพื้นที่การศึกษามุกดาหาร เขต 1
กลาง,ต.คำบก อ.คำชะอี จ.มุกดาหาร 49110,เขตพื้นที่การศึกษามุกดาหาร เขต 1
กองกาน,ต.แม่ศึก อ.แม่แจ่ม จ.เชียงใหม่,เขตพื้นที่การศึกษาเชียงใหม่ เขต 5
กองแขก,ต.กองแขก อ.แม่แจ่ม จ.เชียงใหม่ 50270,เขตพื้นที่การศึกษาเชียงใหม่ เขต 5
กองแขก สาขาบ้านแม่หลุ,ต.กองแขก อ.แม่แจ่ม จ.เชียงใหม่ 50270,เขตพื้นที่การศึกษาเชียงใหม่ เขต 5
ก๊างหงส์,ต.บ้านเป้า อ.แม่แตง จ.เชียงใหม่ 50150,เขตพื้นที่การศึกษาเชียงใหม่ เขต 2
ก๋ายน้อย,ต.เมืองก๋าย อ.แม่แตง จ.เชียงใหม่ 50150,เขตพื้นที่การศึกษาเชียงใหม่ เขต 2
กาดฮาว,ต.สะลวง อ.แม่ริม จ.เชียงใหม่ 50330,เขตพื้นที่การศึกษาเชียงใหม่ เขต 2
กองแหะ,ต.โป่งแยง อ.แม่ริม จ.เชียงใหม่,เขตพื้นที่การศึกษาเชียงใหม่ เขต 2
กิ่วเสือ,ต.ยั้งเมิน อ.สะเมิง จ.เชียงใหม่ 50250,เขตพื้นที่การศึกษาเชียงใหม่ เขต 2
กลาง,ต.ยุหว่า อ.สันป่าตอง จ.เชียงใหม่ 50120,เขตพื้นที่การศึกษาเชียงใหม่ เขต 4
กวน,ต.มะขามหลวง อ.สันป่าตอง จ.เชียงใหม่ 50120,เขตพื้นที่การศึกษาเชียงใหม่ เขต 4
กอสะเลียม,ต.บวกค้าง อ.สันกำแพง จ.เชียงใหม่ 50130,เขตพื้นที่การศึกษาเชียงใหม่ เขต 1
กวน,ต.หารแก้ว อ.หางดง จ.เชียงใหม่ 50230,เขตพื้นที่การศึกษาเชียงใหม่ เขต 4
กองหิน,ต.หางดง อ.ฮอด จ.เชียงใหม่ 50240,เขตพื้นที่การศึกษาเชียงใหม่ เขต 5
กิ่วลม,ต.บ่อหลวง อ.ฮอด จ.เชียงใหม่ 50240,เขตพื้นที่การศึกษาเชียงใหม่ เขต 5
กองลอย,ต.บ่อสลี อ.ฮอด จ.เชียงใหม่ 50240,เขตพื้นที่การศึกษาเชียงใหม่ เขต 5
กองวะ,ต.โปงทุ่ง อ.ดอยเต่า จ.เชียงใหม่ 50260,เขตพื้นที่การศึกษาเชียงใหม่ เขต 5
กองลม,ต.เมืองแหง อ.เวียงแหง จ.เชียงใหม่ 50350,เขตพื้นที่การศึกษาเชียงใหม่ เขต 3
กาด,ต.บ้านกาด อ.แม่วาง จ.เชียงใหม่ 50360,เขตพื้นที่การศึกษาเชียงใหม่ เขต 4
กาดวิทยาคม,ต.ดอนเปา อ.แม่วาง จ.เชียงใหม่ 50360,เขตพื้นที่การศึกษาเชียงใหม่ เขต 4
กอลุง,ต.ทาสบเส้า อ.แม่ทา จ.ลำพูน 51140,เขตพื้นที่การศึกษาลำพูน เขต 1
กลาง (มิตรภาพ 17),ต.ลี้ อ.ลี้ จ.ลำพูน 51110,เขตพื้นที่การศึกษาลำพูน เขต 2
ก้อจัดสรร,ต.ก้อ อ.ลี้ จ.ลำพูน 51110,เขตพื้นที่การศึกษาลำพูน เขต 2
ก้อจัดสรร สาขาเรือนแพ,ต.ก้อ อ.ลี้ จ.ลำพูน 51120,เขตพื้นที่การศึกษาลำพูน เขต 2
กองงาม,ต.แม่แรง อ.ป่าซาง จ.ลำพูน 51120,เขตพื้นที่การศึกษาลำพูน เขต 1
กิ่วมื่น,ต.มะกอก อ.ป่าซาง จ.ลำพูน 51120,เขตพื้นที่การศึกษาลำพูน เขต 1
กาศเมฆ,ต.ชมพู อ.เมืองลำปาง จ.ลำปาง 52100,เขตพื้นที่การศึกษาลำปาง เขต 1
กล้วยแพะ,ต.กล้วยแพะ อ.เมืองลำปาง จ.ลำปาง 52000,เขตพื้นที่การศึกษาลำปาง เขต 1
กาด,ต.ปงแสนทอง อ.เมืองลำปาง จ.ลำปาง 52000,เขตพื้นที่การศึกษาลำปาง เขต 1
กิ่วห้วยเบิก,ต.เสริมกลาง อ.เสริมงาม จ.ลำปาง 52210,เขตพื้นที่การศึกษาลำปาง เขต 2
ก่อ,ต.วังทรายคำ อ.วังเหนือ จ.ลำปาง 52140,เขตพื้นที่การศึกษาลำปาง เขต 3
กุ่มเนิ้งใต้,ต.แม่มอก อ.เถิน จ.ลำปาง 52160,เขตพื้นที่การศึกษาลำปาง เขต 2
ก้อมหนองมุง,ต.หัวเสือ อ.แม่ทะ จ.ลำปาง 52150,เขตพื้นที่การศึกษาลำปาง เขต 2
กล้วย,ต.หัวเมือง อ.เมืองปาน จ.ลำปาง 52240,เขตพื้นที่การศึกษาลำปาง เขต 3
กิ่วเคียน,ต.จริม อ.ท่าปลา จ.อุตรดิตถ์ 53150,เขตพื้นที่การศึกษาอุตรดิตถ์ เขต 2
กองโค,ต.คอรุม อ.พิชัย จ.อุตรดิตถ์ 53120,เขตพื้นที่การศึกษาอุตรดิตถ์ เขต 1
กาซ้อง,ต.เหมืองหม้อ อ.เมืองแพร่ จ.แพร่ 54000,เขตพื้นที่การศึกษาแพร่ เขต 1
กวาง(ลือราษฎร์วัฒนา),ต.บ้านกวาง อ.สูงเม่น จ.แพร่ 54130,เขตพื้นที่การศึกษาแพร่ เขต 2
กาศประชานุเคราะห์,ต.บ้านกาศ อ.สูงเม่น จ.แพร่ 54130,เขตพื้นที่การศึกษาแพร่ เขต 2
กาศ(วัฒนาประชานุกูล),ต.บ้านกาศ อ.สูงเม่น จ.แพร่ 54130,เขตพื้นที่การศึกษาแพร่ เขต 2
กาใส,ต.สะเนียน อ.เมืองน่าน จ.น่าน 55000,เขตพื้นที่การศึกษาน่าน เขต 1
กิ่วน้ำ,ต.หนองแดง อ.แม่จริม จ.น่าน 55170,เขตพื้นที่การศึกษาน่าน เขต 1
ก้อ,ต.แม่จริม อ.แม่จริม จ.น่าน 55170,เขตพื้นที่การศึกษาน่าน เขต 1
กอกจูน,ต.ภูคา อ.ปัว จ.น่าน 55120,เขตพื้นที่การศึกษาน่าน เขต 2
ก๋ง,ต.ยม อ.ท่าวังผา จ.น่าน 55140,เขตพื้นที่การศึกษาน่าน เขต 2
กอก,ต.เชียงกลาง อ.เชียงกลาง จ.น่าน 55160,เขตพื้นที่การศึกษาน่าน เขต 2
ก้อด,ต.นาปัง อ.ภูเพียง จ.น่าน 55000,เขตพื้นที่การศึกษาน่าน เขต 1
กิ่วจันทร์(เสรินทวัฒน์อุปถัมภ์),ต.ขุนน่าน อ.เฉลิมพระเกียรติ จ.น่าน 55130,เขตพื้นที่การศึกษาน่าน เขต 2
กิ่วแก้ว,ต.ห้วยข้าวก่ำ อ.จุน จ.พะเยา 56150,เขตพื้นที่การศึกษาพะเยา เขต 2
ก๊อน้อย,ต.ทุ่งกล้วย อ.ภูซาง จ.พะเยา 56110,เขตพื้นที่การศึกษาพะเยา เขต 2
ก๊อหลวง,ต.ทุ่งกล้วย อ.ภูซาง จ.พะเยา 56110,เขตพื้นที่การศึกษาพะเยา เขต 2
กาดถี,ต.ห้วยแก้ว อ.ภูกามยาว จ.พะเยา 56000,เขตพื้นที่การศึกษาพะเยา เขต 1
กว้านเหนือ,ต.ดงเจน อ.ภูกามยาว จ.พะเยา 56000,เขตพื้นที่การศึกษาพะเยา เขต 1
กกน้อยวิทยา,ต.ห้วยชมภู อ.เมืองเชียงราย จ.เชียงราย 57000,เขตพื้นที่การศึกษาเชียงราย เขต 1
ก๊อ,ต.เชียงเคี่ยน อ.เทิง จ.เชียงราย 57230,เขตพื้นที่การศึกษาเชียงราย เขต 4
กล้วย,ต.สันมะเค็ด อ.พาน จ.เชียงราย 57120,เขตพื้นที่การศึกษาเชียงราย เขต 2
กว๋าวโท้ง,ต.สันมะเค็ด อ.พาน จ.เชียงราย 57120,เขตพื้นที่การศึกษาเชียงราย เขต 2
กระแล,ต.แม่เปา อ.พญาเม็งราย จ.เชียงราย 57290,เขตพื้นที่การศึกษาเชียงราย เขต 4
กลาง,ต.แม่สลองนอก อ.แม่ฟ้าหลวง จ.เชียงราย 57110,เขตพื้นที่การศึกษาเชียงราย เขต 3
กลาง,ต.ห้วยโป่ง อ.เมืองแม่ฮ่องสอน จ.แม่ฮ่องสอน 58000,เขตพื้นที่การศึกษาแม่ฮ่องสอน เขต 1
กุงไม้สักมิตรภาพที่ 98,ต.ปางหมู อ.เมืองแม่ฮ่องสอน จ.แม่ฮ่องสอน 58000,เขตพื้นที่การศึกษาแม่ฮ่องสอน เขต 1
กุงแกงป่าไม้อุทิศที่ 12,ต.ทุ่งยาว อ.ปาย จ.แม่ฮ่องสอน 58130,เขตพื้นที่การศึกษาแม่ฮ่องสอน เขต 1
กอกหลวง,ต.แม่นาจาง อ.แม่ลาน้อย จ.แม่ฮ่องสอน 58120,เขตพื้นที่การศึกษาแม่ฮ่องสอน เขต 2
กะริคี,ต.สันติคีรี อ.แม่ลาน้อย จ.แม่ฮ่องสอน 58120,เขตพื้นที่การศึกษาแม่ฮ่องสอน เขต 2
กองก๋อย,ต.กองก๋อย อ.สบเมย จ.แม่ฮ่องสอน 58110,เขตพื้นที่การศึกษาแม่ฮ่องสอน เขต 2
กองแปใต้,ต.ป่าโปง อ.สบเมย จ.แม่ฮ่องสอน 58110,เขตพื้นที่การศึกษาแม่ฮ่องสอน เขต 2
กลอเซโล,ต.แม่สามแลบ อ.สบเมย จ.แม่ฮ่องสอน 58110,เขตพื้นที่การศึกษาแม่ฮ่องสอน เขต 2
กอมูเดอ,ต.แม่สามแลบ อ.สบเมย จ.แม่ฮ่องสอน 58110,เขตพื้นที่การศึกษาแม่ฮ่องสอน เขต 2
กึ้ดสามสิบ,ต.สบป่อง อ.ปางมะผ้า จ.แม่ฮ่องสอน 58150,เขตพื้นที่การศึกษาแม่ฮ่องสอน เขต 1
กระจังงาม,ต.ศาลาแดง อ.โกรกพระ จ.นครสวรรค์ 60170,เขตพื้นที่การศึกษานครสวรรค์ เขต 1
กกกว้าว,ต.พรหมนิมิต อ.ตาคลี จ.นครสวรรค์ 60210,เขตพื้นที่การศึกษานครสวรรค์ เขต 3
กระทุ่มทอง,ต.วังข่อย อ.ไพศาลี จ.นครสวรรค์ 60220,เขตพื้นที่การศึกษานครสวรรค์ เขต 3
กลาง,ต.ห้วยคต อ.ห้วยคต จ.อุทัยธานี 61170,เขตพื้นที่การศึกษาอุทัยธานี เขต 2
กระโดนเตี้ย,ต.วังไทร อ.คลองขลุง จ.กำแพงเพชร 62120,เขตพื้นที่การศึกษากำแพงเพชร เขต 2
กระบวยทอง,ต.เทพนิมิต อ.บึงสามัคคี จ.กำแพงเพชร 62210,เขตพื้นที่การศึกษากำแพงเพชร เขต 2
กล้อทอ,ต.แม่จัน อ.อุ้มผาง จ.ตาก 63170,เขตพื้นที่การศึกษาตาก เขต 2
กล้วย,ต.บ้านกล้วย อ.เมืองสุโขทัย จ.สุโขทัย 64000,เขตพื้นที่การศึกษาสุโขทัย เขต 1
กระชงค์(ประชาอุทิศ),ต.บ้านหลุม อ.เมืองสุโขทัย จ.สุโขทัย 64000,เขตพื้นที่การศึกษาสุโขทัย เขต 1
กง(ราษฎร์อุทิศ),ต.กง อ.กงไกรลาศ จ.สุโขทัย 64170,เขตพื้นที่การศึกษาสุโขทัย เขต 1
กมลราษฎร์,ต.บ้านใหม่ไชยมงคล อ.ทุ่งเสลี่ยม จ.สุโขทัย 64230,เขตพื้นที่การศึกษาสุโขทัย เขต 2
กลางดง,ต.กลางดง อ.ทุ่งเสลี่ยม จ.สุโขทัย 64150,เขตพื้นที่การศึกษาสุโขทัย เขต 2
กร่างวิทยาคม,ต.บ้านกร่าง อ.เมืองพิษณุโลก จ.พิษณุโลก 65000,เขตพื้นที่การศึกษาพิษณุโลก เขต 1
กร่าง(พระขาวชัยสิทธิ์),ต.บ้านกร่าง อ.เมืองพิษณุโลก จ.พิษณุโลก 65000,เขตพื้นที่การศึกษาพิษณุโลก เขต 1
กกม่วง,ต.ยางโกลน อ.นครไทย จ.พิษณุโลก 65120,เขตพื้นที่การศึกษาพิษณุโลก เขต 3
กรุงกรัก,ต.ท่านางงาม อ.บางระกำ จ.พิษณุโลก 65140,เขตพื้นที่การศึกษาพิษณุโลก เขต 1
กลาง,ต.บ้านกลาง อ.วังทอง จ.พิษณุโลก 65220,เขตพื้นที่การศึกษาพิษณุโลก เขต 2
กลางพิทยาคม,ต.บ้านกลาง อ.วังทอง จ.พิษณุโลก 65220,เขตพื้นที่การศึกษาพิษณุโลก เขต 39
