หนองบอน (นัยนานนท์อนุสรณ์),แขวงหนองบอน เขตประเวศ กรุงเทพมหานคร 10250,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
หนองแวงโนนขี้เหล็ก,ต.ผาสุก อ.กุมภวาปี จ.อุดรธานี 41370,เขตพื้นที่การศึกษาอุดรธานี เขต 2
หมากบ้าเลาโคกกลาง,ต.เชียงแหว อ.กุมภวาปี จ.อุดรธานี 41110,เขตพื้นที่การศึกษาอุดรธานี เขต 2
ห้วยเกิ้ง(วัฒนเสรีราษฎร์บำรุง),ต.ห้วยเกิ้ง อ.กุมภวาปี จ.อุดรธานี 41110,เขตพื้นที่การศึกษาอุดรธานี เขต 2
หนองกวาง,ต.สีออ อ.กุมภวาปี จ.อุดรธานี 41110,เขตพื้นที่การศึกษาอุดรธานี เขต 2
หนองแดง,ต.สีออ อ.กุมภวาปี จ.อุดรธานี 41110,เขตพื้นที่การศึกษาอุดรธานี เขต 2
หนองแวง,ต.หนองหว้า อ.กุมภวาปี จ.อุดรธานี 41110,เขตพื้นที่การศึกษาอุดรธานี เขต 2
หนองหว้า,ต.หนองหว้า อ.กุมภวาปี จ.อุดรธานี 41110,เขตพื้นที่การศึกษาอุดรธานี เขต 2
ห้วยบง,ต.หนองหว้า อ.กุมภวาปี จ.อุดรธานี 41110,เขตพื้นที่การศึกษาอุดรธานี เขต 2
หนองจาน,ต.โนนสะอาด อ.โนนสะอาด จ.อุดรธานี 41240,เขตพื้นที่การศึกษาอุดรธานี เขต 2
หัวฝาย,ต.โนนสะอาด อ.โนนสะอาด จ.อุดรธานี 41240,เขตพื้นที่การศึกษาอุดรธานี เขต 2
หนองโก,ต.บุ่งแก้ว อ.โนนสะอาด จ.อุดรธานี 41240,เขตพื้นที่การศึกษาอุดรธานี เขต 2
ห้วยแสงอรุณวิทยา,ต.โพธิ์ศรีสำราญ อ.โนนสะอาด จ.อุดรธานี 41240,เขตพื้นที่การศึกษาอุดรธานี เขต 2
หาดสถาพร,ต.ทมนางาม อ.โนนสะอาด จ.อุดรธานี 41240,เขตพื้นที่การศึกษาอุดรธานี เขต 2
หนองกุง,ต.หนองกุงศรี อ.โนนสะอาด จ.อุดรธานี 41240,เขตพื้นที่การศึกษาอุดรธานี เขต 2
หนองแสง,ต.โคกกลาง อ.โนนสะอาด จ.อุดรธานี 41240,เขตพื้นที่การศึกษาอุดรธานี เขต 2
หนองงิ้ว,ต.หนองหาน อ.หนองหาน จ.อุดรธานี 41130,เขตพื้นที่การศึกษาอุดรธานี เขต 3
หนองบ่อ (พอลพิทยาประชานุสรณ์),ต.หนองหาน อ.หนองหาน จ.อุดรธานี 41130,เขตพื้นที่การศึกษาอุดรธานี เขต 3
หนองหาน (วันครู 2502),ต.หนองหาน อ.หนองหาน จ.อุดรธานี 41130,เขตพื้นที่การศึกษาอุดรธานี เขต 3
หนองตาใกล้,ต.หนองเม็ก อ.หนองหาน จ.อุดรธานี 41130,เขตพื้นที่การศึกษาอุดรธานี เขต 3
หนองนกทา,ต.หนองเม็ก อ.หนองหาน จ.อุดรธานี 41130,เขตพื้นที่การศึกษาอุดรธานี เขต 3
หนองลาดหนองแปนคำผักกูด,ต.หนองเม็ก อ.หนองหาน จ.อุดรธานี 41130,เขตพื้นที่การศึกษาอุดรธานี เขต 3
หนองสะหนาย,ต.พังงู อ.หนองหาน จ.อุดรธานี 41130,เขตพื้นที่การศึกษาอุดรธานี เขต 3
หนองหญ้ารังกา,ต.พังงู อ.หนองหาน จ.อุดรธานี 41130,เขตพื้นที่การศึกษาอุดรธานี เขต 3
หงษาวดี,ต.สร้อยพร้าว อ.หนองหาน จ.อุดรธานี 41130,เขตพื้นที่การศึกษาอุดรธานี เขต 3
หนองผือ,ต.บ้านยา อ.หนองหาน จ.อุดรธานี 41320,เขตพื้นที่การศึกษาอุดรธานี เขต 3
หันน้อย,ต.บ้านยา อ.หนองหาน จ.อุดรธานี 41320,เขตพื้นที่การศึกษาอุดรธานี เขต 3
หนองสองแห้วประชาสรรค์,ต.โพนงาม อ.หนองหาน จ.อุดรธานี 41130,เขตพื้นที่การศึกษาอุดรธานี เขต 3
หนองกุงดอนบาก,ต.ผักตบ อ.หนองหาน จ.อุดรธานี 41130,เขตพื้นที่การศึกษาอุดรธานี เขต 3
หนองบัว,ต.ผักตบ อ.หนองหาน จ.อุดรธานี 41130,เขตพื้นที่การศึกษาอุดรธานี เขต 3
หนองบัวแดง,ต.หนองไผ่ อ.หนองหาน จ.อุดรธานี 41130,เขตพื้นที่การศึกษาอุดรธานี เขต 3
หนองไผ่พิทยาคม,ต.หนองไผ่ อ.หนองหาน จ.อุดรธานี 41130,เขตพื้นที่การศึกษาอุดรธานี เขต 3
หนองกล้า,ต.ดอนหายโศก อ.หนองหาน จ.อุดรธานี 41130,เขตพื้นที่การศึกษาอุดรธานี เขต 3
หนองเต่าดอนหายโศก,ต.ดอนหายโศก อ.หนองหาน จ.อุดรธานี 41130,เขตพื้นที่การศึกษาอุดรธานี เขต 3
หนองบัวน้อย,ต.หนองสระปลา อ.หนองหาน จ.อุดรธานี 41320,เขตพื้นที่การศึกษาอุดรธานี เขต 3
หนองแซง,ต.ไชยวาน อ.ไชยวาน จ.อุดรธานี 41290,เขตพื้นที่การศึกษาอุดรธานี เขต 3
หนองหลัก,ต.หนองหลัก อ.ไชยวาน จ.อุดรธานี 41290,เขตพื้นที่การศึกษาอุดรธานี เขต 3
หนองอิอู,ต.หนองหลัก อ.ไชยวาน จ.อุดรธานี 41290,เขตพื้นที่การศึกษาอุดรธานี เขต 3
หัวหนองยาง,ต.หนองหลัก อ.ไชยวาน จ.อุดรธานี 41290,เขตพื้นที่การศึกษาอุดรธานี เขต 3
หนองแวงตาด,ต.คำเลาะ อ.ไชยวาน จ.อุดรธานี 41290,เขตพื้นที่การศึกษาอุดรธานี เขต 3
ห้วยยาง,ต.โพนสูง อ.ไชยวาน จ.อุดรธานี 41290,เขตพื้นที่การศึกษาอุดรธานี เขต 3
ห้วยวังปลา,ต.ศรีธาตุ อ.ศรีธาตุ จ.อุดรธานี 41230,เขตพื้นที่การศึกษาอุดรธานี เขต 2
หนองกุง,ต.นายูง อ.ศรีธาตุ จ.อุดรธานี 41230,เขตพื้นที่การศึกษาอุดรธานี เขต 2
ห้วยผึ้ง,ต.บ้านโปร่ง อ.ศรีธาตุ จ.อุดรธานี 41230,เขตพื้นที่การศึกษาอุดรธานี เขต 2
หนองท่ม,ต.หัวนาคำ อ.ศรีธาตุ จ.อุดรธานี 41230,เขตพื้นที่การศึกษาอุดรธานี เขต 2
หนองนกเขียน,ต.หนองนกเขียน อ.ศรีธาตุ จ.อุดรธานี 41230,เขตพื้นที่การศึกษาอุดรธานี เขต 2
หนองหญ้าไซ,ต.หนองหญ้าไซ อ.วังสามหมอ จ.อุดรธานี 41280,เขตพื้นที่การศึกษาอุดรธานี เขต 2
หนองกุงทับม้า,ต.วังสามหมอ อ.วังสามหมอ จ.อุดรธานี 41280,เขตพื้นที่การศึกษาอุดรธานี เขต 2
หนองสองห้อง,ต.บ้านดุง อ.บ้านดุง จ.อุดรธานี 41190,เขตพื้นที่การศึกษาอุดรธานี เขต 3
หนองไฮโนนสำราญ,ต.บ้านดุง อ.บ้านดุง จ.อุดรธานี 41190,เขตพื้นที่การศึกษาอุดรธานี เขต 3
ห้วยปลาโดศรีสามารถ,ต.บ้านดุง อ.บ้านดุง จ.อุดรธานี 41190,เขตพื้นที่การศึกษาอุดรธานี เขต 3
หนองกาโนนสิมมา,ต.บ้านจันทน์ อ.บ้านดุง จ.อุดรธานี 44190,เขตพื้นที่การศึกษาอุดรธานี เขต 3
หนองลาด,ต.ถ่อนนาลับ อ.บ้านดุง จ.อุดรธานี 41190,เขตพื้นที่การศึกษาอุดรธานี เขต 3
หนองสว่าง,ต.บ้านม่วง อ.บ้านดุง จ.อุดรธานี 41190,เขตพื้นที่การศึกษาอุดรธานี เขต 3
หัวดงยาง,ต.นาคำ อ.บ้านดุง จ.อุดรธานี 41190,เขตพื้นที่การศึกษาอุดรธานี เขต 3
หนองนกเขียน,ต.หายโศก อ.บ้านผือ จ.อุดรธานี 41160,เขตพื้นที่การศึกษาอุดรธานี เขต 4
หายโศก,ต.หายโศก อ.บ้านผือ จ.อุดรธานี 41660,เขตพื้นที่การศึกษาอุดรธานี เขต 4
หลุมข้าว,ต.เขือน้ำ อ.บ้านผือ จ.อุดรธานี 41160,เขตพื้นที่การศึกษาอุดรธานี เขต 4
หนองแวง,ต.หนองแวง อ.บ้านผือ จ.อุดรธานี 41160,เขตพื้นที่การศึกษาอุดรธานี เขต 4
หินตั้ง,ต.ข้าวสาร อ.บ้านผือ จ.อุดรธานี 41160,เขตพื้นที่การศึกษาอุดรธานี เขต 4
หนองกบ,ต.เมืองพาน อ.บ้านผือ จ.อุดรธานี 41160,เขตพื้นที่การศึกษาอุดรธานี เขต 4
หนองหัวคู,ต.หนองหัวคู อ.บ้านผือ จ.อุดรธานี 41160,เขตพื้นที่การศึกษาอุดรธานี เขต 4
หนองกอง,ต.บ้านค้อ อ.บ้านผือ จ.อุดรธานี 41160,เขตพื้นที่การศึกษาอุดรธานี เขต 4
หนองบอนเวียงชัย,ต.หนองแวง อ.บ้านผือ จ.อุดรธานี 41160,เขตพื้นที่การศึกษาอุดรธานี เขต 4
หนองแวง,ต.หนองแวง อ.น้ำโสม จ.อุดรธานี 41210,เขตพื้นที่การศึกษาอุดรธานี เขต 4
หยวก,ต.บ้านหยวก อ.น้ำโสม จ.อุดรธานี 41210,เขตพื้นที่การศึกษาอุดรธานี เขต 4
หัวช้าง,ต.โสมเยี่ยม อ.น้ำโสม จ.อุดรธานี 41210,เขตพื้นที่การศึกษาอุดรธานี เขต 4
หมูม่นโพนสว่าง,ต.บ้านธาตุ อ.เพ็ญ จ.อุดรธานี 41150,เขตพื้นที่การศึกษาอุดรธานี เขต 1
หลวงหัวสวย,ต.นาพู่ อ.เพ็ญ จ.อุดรธานี 41150,เขตพื้นที่การศึกษาอุดรธานี เขต 1
หนองนกเขียนโพนทัน,ต.เชียงหวาง อ.เพ็ญ จ.อุดรธานี,เขตพื้นที่การศึกษาอุดรธานี เขต 1
หนองนาไฮโนนสะอาด,ต.สุมเส้า อ.เพ็ญ จ.อุดรธานี 41150,เขตพื้นที่การศึกษาอุดรธานี เขต 1
หนองบัวบาน (เพ็ญ),ต.สุมเส้า อ.เพ็ญ จ.อุดรธานี,เขตพื้นที่การศึกษาอุดรธานี เขต 1
หนองแสนตอ,ต.สุมเส้า อ.เพ็ญ จ.อุดรธานี 41150,เขตพื้นที่การศึกษาอุดรธานี เขต 1
ห้วยวังโตน,ต.สุมเส้า อ.เพ็ญ จ.อุดรธานี,เขตพื้นที่การศึกษาอุดรธานี เขต 1
หนองกุง,ต.บ้านเหล่า อ.เพ็ญ จ.อุดรธานี 41150,เขตพื้นที่การศึกษาอุดรธานี เขต 1
หนองผง,ต.บ้านเหล่า อ.เพ็ญ จ.อุดรธานี 41150,เขตพื้นที่การศึกษาอุดรธานี เขต 1
หนองบ่อ,ต.จอมศรี อ.เพ็ญ จ.อุดรธานี 41150,เขตพื้นที่การศึกษาอุดรธานี เขต 1
หม้อ,ต.เตาไห อ.เพ็ญ จ.อุดรธานี 41150,เขตพื้นที่การศึกษาอุดรธานี เขต 1
หว้าน,ต.สร้างแป้น อ.เพ็ญ จ.อุดรธานี 41150,เขตพื้นที่การศึกษาอุดรธานี เขต 1
หินโงม,ต.บ้านหินโงม อ.สร้างคอม จ.อุดรธานี 41260,เขตพื้นที่การศึกษาอุดรธานี เขต 1
หนองแสง,ต.หนองแสง อ.หนองแสง จ.อุดรธานี 41340,เขตพื้นที่การศึกษาอุดรธานี เขต 2
หนองบัว,ต.นาดี อ.หนองแสง จ.อุดรธานี 41340,เขตพื้นที่การศึกษาอุดรธานี เขต 2
หนองประเสริฐ,ต.ทับกุง อ.หนองแสง จ.อุดรธานี 41340,เขตพื้นที่การศึกษาอุดรธานี เขต 2
หนองหว้า,ต.ทับกุง อ.หนองแสง จ.อุดรธานี 41340,เขตพื้นที่การศึกษาอุดรธานี เขต 2
หนองผักแว่นดอนเขือง,ต.บ้านแดง อ.พิบูลย์รักษ์ จ.อุดรธานี 41130,เขตพื้นที่การศึกษาอุดรธานี เขต 3
หนองไผ ่(วัดเวฬุวันอุปถัมภ์),ต.นาทราย อ.พิบูลย์รักษ์ จ.อุดรธานี 41130,เขตพื้นที่การศึกษาอุดรธานี เขต 3
หนองบัวสะอาด,ต.ดอนกลอย อ.พิบูลย์รักษ์ จ.อุดรธานี 41130,เขตพื้นที่การศึกษาอุดรธานี เขต 3
หว้านใหญ่ประชาคม,ต.ดอนกลอย อ.พิบูลย์รักษ์ จ.อุดรธานี 41130,เขตพื้นที่การศึกษาอุดรธานี เขต 3
หัวหนอง,ต.โนนทองอินทร์ อ.กู่แก้ว จ.อุดรธานี 41130,เขตพื้นที่การศึกษาอุดรธานี เขต 3
หนองช้างคาว,ต.คอนสาย อ.กู่แก้ว จ.อุดรธานี 41130,เขตพื้นที่การศึกษาอุดรธานี เขต 3
หนองลุมพุกหญ้าม้า,ต.นาม่วง อ.ประจักษ์ศิลปาคม จ.อุดรธานี 41110,เขตพื้นที่การศึกษาอุดรธานี เขต 2
หนองแวงเหนือ,ต.ห้วยสามพาด อ.ประจักษ์ศิลปาคม จ.อุดรธานี 41110,เขตพื้นที่การศึกษาอุดรธานี เขต 2
ห้วยสามพาด(สหราษฎร์พัฒนา),ต.ห้วยสามพาด อ.ประจักษ์ศิลปาคม จ.อุดรธานี 41110,เขตพื้นที่การศึกษาอุดรธานี เขต 2
ห้วยเหล็ก,ต.กกดู่ อ.เมืองเลย จ.เลย -,เขตพื้นที่การศึกษาเลย เขต 1
ห้วยลวงไซ,ต.น้ำหมาน อ.เมืองเลย จ.เลย 42000,เขตพื้นที่การศึกษาเลย เขต 1
ห้วยสีเสียด,ต.น้ำหมาน อ.เมืองเลย จ.เลย 42000,เขตพื้นที่การศึกษาเลย เขต 1
ห้วยโตก,ต.นาโป่ง อ.เมืองเลย จ.เลย 42000,เขตพื้นที่การศึกษาเลย เขต 1
หนองนาทราย,ต.นาดินดำ อ.เมืองเลย จ.เลย 42000,เขตพื้นที่การศึกษาเลย เขต 1
หนองผำ,ต.นาดินดำ อ.เมืองเลย จ.เลย 42000,เขตพื้นที่การศึกษาเลย เขต 1
หนองหญ้าไซ,ต.นาดินดำ อ.เมืองเลย จ.เลย 42000,เขตพื้นที่การศึกษาเลย เขต 1
ห้วยม่วง,ต.นาดินดำ อ.เมืองเลย จ.เลย 42000,เขตพื้นที่การศึกษาเลย เขต 1
หนองดอกบัว,ต.น้ำสวย อ.เมืองเลย จ.เลย 42000,เขตพื้นที่การศึกษาเลย เขต 1
หัวฝาย,ต.ชัยพฤกษ์ อ.เมืองเลย จ.เลย 42000,เขตพื้นที่การศึกษาเลย เขต 1
ห้วยทราย,ต.นาแขม อ.เมืองเลย จ.เลย 42100,เขตพื้นที่การศึกษาเลย เขต 1
ห้วยหวาย,ต.นาแขม อ.เมืองเลย จ.เลย 42000,เขตพื้นที่การศึกษาเลย เขต 1
ห้วยกระทิง,ต.กกทอง อ.เมืองเลย จ.เลย 42000,เขตพื้นที่การศึกษาเลย เขต 1
ห้วยตาด,ต.นาดอกคำ อ.นาด้วง จ.เลย 42210,เขตพื้นที่การศึกษาเลย เขต 1
ห้วยพอด,ต.ธาตุ อ.เชียงคาน จ.เลย 42110,เขตพื้นที่การศึกษาเลย เขต 1
ห้วยหินซาน้ำอ้อมพรหมมานุสรณ์,ต.ธาตุ อ.เชียงคาน จ.เลย 42110,เขตพื้นที่การศึกษาเลย เขต 1
หินตั้ง,ต.จอมศรี อ.เชียงคาน จ.เลย 42110,เขตพื้นที่การศึกษาเลย เขต 1
หัวแก่ง,ต.หาดทรายขาว อ.เชียงคาน จ.เลย -,เขตพื้นที่การศึกษาเลย เขต 1
หาดทรายขาวผามุม,ต.หาดทรายขาว อ.เชียงคาน จ.เลย -,เขตพื้นที่การศึกษาเลย เขต 1
หาดเบี้ย,ต.ปากชม อ.ปากชม จ.เลย 42150,เขตพื้นที่การศึกษาเลย เขต 1
ห้วยนา,ต.เชียงกลม อ.ปากชม จ.เลย -,เขตพื้นที่การศึกษาเลย เขต 1
ห้วยผักกูด,ต.เชียงกลม อ.ปากชม จ.เลย 42150,เขตพื้นที่การศึกษาเลย เขต 1
ห้วยขอบห้วยเหียม,ต.หาดคัมภีร์ อ.ปากชม จ.เลย 42150,เขตพื้นที่การศึกษาเลย เขต 1
หาดคัมภีร์,ต.หาดคัมภีร์ อ.ปากชม จ.เลย 42150,เขตพื้นที่การศึกษาเลย เขต 1
ห้วยบ่อซืน,ต.ห้วยบ่อซืน อ.ปากชม จ.เลย 42150,เขตพื้นที่การศึกษาเลย เขต 1
ห้วยพิชัย,ต.ห้วยพิชัย อ.ปากชม จ.เลย 42150,เขตพื้นที่การศึกษาเลย เขต 1
ห้วยหินขาว,ต.ห้วยพิชัย อ.ปากชม จ.เลย 42150,เขตพื้นที่การศึกษาเลย เขต 1
ห้วยอาลัย,ต.ชมเจริญ อ.ปากชม จ.เลย 42150,เขตพื้นที่การศึกษาเลย เขต 1
ห้วยน้ำเมย,ต.ปากหมัน อ.ด่านซ้าย จ.เลย -,เขตพื้นที่การศึกษาเลย เขต 1
ห้วยปลาฝา,ต.นาดี อ.ด่านซ้าย จ.เลย 42120,เขตพื้นที่การศึกษาเลย เขต 1
หนองสนุ่น,ต.โคกงาม อ.ด่านซ้าย จ.เลย -,เขตพื้นที่การศึกษาเลย เขต 1
หนองหลวง,ต.โคกงาม อ.ด่านซ้าย จ.เลย 42120,เขตพื้นที่การศึกษาเลย เขต 1
ห้วยตาด,ต.โคกงาม อ.ด่านซ้าย จ.เลย -,เขตพื้นที่การศึกษาเลย เขต 1
ห้วยทอง,ต.โพนสูง อ.ด่านซ้าย จ.เลย 42120,เขตพื้นที่การศึกษาเลย เขต 1
หัวฝาย,ต.โพนสูง อ.ด่านซ้าย จ.เลย -,เขตพื้นที่การศึกษาเลย เขต 1
หนองอุมลัว,ต.โพนสูง อ.ด่านซ้าย จ.เลย 42120,เขตพื้นที่การศึกษาเลย เขต 3
ห้วยไผ่,ต.อิปุ่ม อ.ด่านซ้าย จ.เลย -,เขตพื้นที่การศึกษาเลย เขต 1
ห้วยลาด,ต.อิปุ่ม อ.ด่านซ้าย จ.เลย -4212,เขตพื้นที่การศึกษาเลย เขต 1
หินแลบ,ต.อิปุ่ม อ.ด่านซ้าย จ.เลย 42120,เขตพื้นที่การศึกษาเลย เขต 1
ห้วยมุ่น,ต.กกสะทอน อ.ด่านซ้าย จ.เลย 42120,เขตพื้นที่การศึกษาเลย เขต 1
หนองผือ,ต.นาหอ อ.ด่านซ้าย จ.เลย 42120,เขตพื้นที่การศึกษาเลย เขต 1
หัวนาแหลม,ต.นาหอ อ.ด่านซ้าย จ.เลย 42120,เขตพื้นที่การศึกษาเลย เขต 1
ห้วยน้ำผัก,ต.แสงภา อ.นาแห้ว จ.เลย 42170,เขตพื้นที่การศึกษาเลย เขต 1
หนองสิม,ต.นามาลา อ.นาแห้ว จ.เลย 42170,เขตพื้นที่การศึกษาเลย เขต 1
หนองหวาย,ต.นามาลา อ.นาแห้ว จ.เลย -,เขตพื้นที่การศึกษาเลย เขต 1
หัวด่านนาปูน,ต.นามาลา อ.นาแห้ว จ.เลย -,เขตพื้นที่การศึกษาเลย เขต 1
หนองบง,ต.หนองบัว อ.ภูเรือ จ.เลย 42160,เขตพื้นที่การศึกษาเลย เขต 1
หินสอ,ต.ปลาบ่า อ.ภูเรือ จ.เลย 42160,เขตพื้นที่การศึกษาเลย เขต 1
ห้วยติ้ว,ต.ลาดค่าง อ.ภูเรือ จ.เลย 42160,เขตพื้นที่การศึกษาเลย เขต 1
ห้วยผักเน่า,ต.ลาดค่าง อ.ภูเรือ จ.เลย 42160,เขตพื้นที่การศึกษาเลย เขต 1
หนองแซง,ต.สานตม อ.ภูเรือ จ.เลย 42160,เขตพื้นที่การศึกษาเลย เขต 1
ห้วยลาด,ต.สานตม อ.ภูเรือ จ.เลย 42160,เขตพื้นที่การศึกษาเลย เขต 1
หนองผือ,ต.หนองผือ อ.ท่าลี่ จ.เลย 42140,เขตพื้นที่การศึกษาเลย เขต 1
หาดพระ,ต.หนองผือ อ.ท่าลี่ จ.เลย 42014,เขตพื้นที่การศึกษาเลย เขต 1
หนองปกติ,ต.อาฮี อ.ท่าลี่ จ.เลย 42140,เขตพื้นที่การศึกษาเลย เขต 1
ห้วยคัง,ต.อาฮี อ.ท่าลี่ จ.เลย 42140,เขตพื้นที่การศึกษาเลย เขต 1
ห้วยด้าย,ต.น้ำแคม อ.ท่าลี่ จ.เลย 42140,เขตพื้นที่การศึกษาเลย เขต 1
ห้วยไค้,ต.โคกใหญ่ อ.ท่าลี่ จ.เลย 42140,เขตพื้นที่การศึกษาเลย เขต 1
หนองบง,ต.น้ำทูน อ.ท่าลี่ จ.เลย 42140,เขตพื้นที่การศึกษาเลย เขต 1
ห้วยเดื่อ,ต.น้ำทูน อ.ท่าลี่ จ.เลย 42140,เขตพื้นที่การศึกษาเลย เขต 1
หนองนอ,ต.หนองหญ้าปล้อง อ.วังสะพุง จ.เลย 42130,เขตพื้นที่การศึกษาเลย เขต 2
หนองปาดฟาน,ต.หนองหญ้าปล้อง อ.วังสะพุง จ.เลย 42130,เขตพื้นที่การศึกษาเลย เขต 2
หนองงิ้วเหล่าแปน,ต.หนองงิ้ว อ.วังสะพุง จ.เลย 42130,เขตพื้นที่การศึกษาเลย เขต 2
หมากแข้งกกกอก,ต.หนองงิ้ว อ.วังสะพุง จ.เลย 42130,เขตพื้นที่การศึกษาเลย เขต 2
หนองขาม,ต.ผาน้อย อ.วังสะพุง จ.เลย 42130,เขตพื้นที่การศึกษาเลย เขต 2
ห้วยผุก,ต.เขาหลวง อ.วังสะพุง จ.เลย 42130,เขตพื้นที่การศึกษาเลย เขต 2
หินเกิ้ง,ต.โคกขมิ้น อ.วังสะพุง จ.เลย 42130,เขตพื้นที่การศึกษาเลย เขต 2
ห้วยทรายคำ,ต.ศรีสงคราม อ.วังสะพุง จ.เลย 42130,เขตพื้นที่การศึกษาเลย เขต 2
ห้วยคะมะ,ต.ผานกเค้า อ.ภูกระดึง จ.เลย 42180,เขตพื้นที่การศึกษาเลย เขต 2
ห้วยส้มใต้,ต.ผานกเค้า อ.ภูกระดึง จ.เลย 42180,เขตพื้นที่การศึกษาเลย เขต 2
ห้วยหมาก,ต.ผานกเค้า อ.ภูกระดึง จ.เลย 42180,เขตพื้นที่การศึกษาเลย เขต 2
หนองตูมท่ายาง,ต.ภูกระดึง อ.ภูกระดึง จ.เลย 42130,เขตพื้นที่การศึกษาเลย เขต 2
ห้วยไผ่,ต.ภูกระดึง อ.ภูกระดึง จ.เลย 42180,เขตพื้นที่การศึกษาเลย เขต 2
ห้วยส้ม,ต.ห้วยส้ม อ.ภูกระดึง จ.เลย 42180,เขตพื้นที่การศึกษาเลย เขต 2
หนองเขียด(เกษตรศาสตร์อนุสรณ์ 12),ต.ภูหอ อ.ภูหลวง จ.เลย 42230,เขตพื้นที่การศึกษาเลย เขต 2
หนองบัว,ต.ภูหอ อ.ภูหลวง จ.เลย 42230,เขตพื้นที่การศึกษาเลย เขต 2
หนองอีเก้ง,ต.ภูหอ อ.ภูหลวง จ.เลย 42230,เขตพื้นที่การศึกษาเลย เขต 2
ห้วยสีเสียด,ต.ห้วยสีเสียด อ.ภูหลวง จ.เลย 42230,เขตพื้นที่การศึกษาเลย เขต 2
หัวฝาย,ต.ผาขาว อ.ผาขาว จ.เลย 42240,เขตพื้นที่การศึกษาเลย เขต 2
หนองตานา,ต.ท่าช้างคล้อง อ.ผาขาว จ.เลย 42240,เขตพื้นที่การศึกษาเลย เขต 2
หนองแต้หนองโก,ต.ท่าช้างคล้อง อ.ผาขาว จ.เลย 42240,เขตพื้นที่การศึกษาเลย เขต 2
หัวขัว,ต.ท่าช้างคล้อง อ.ผาขาว จ.เลย 42240,เขตพื้นที่การศึกษาเลย เขต 2
ห้วยไคร้,ต.โนนปอแดง อ.ผาขาว จ.เลย 42240,เขตพื้นที่การศึกษาเลย เขต 2
ห้วยกาบเปลือย,ต.โนนป่าซาง อ.ผาขาว จ.เลย 42240,เขตพื้นที่การศึกษาเลย เขต 2
ห้วยเดื่อเหนือ,ต.โนนป่าซาง อ.ผาขาว จ.เลย 42240,เขตพื้นที่การศึกษาเลย เขต 2
ห้วยยาง,ต.โนนป่าซาง อ.ผาขาว จ.เลย 42240,เขตพื้นที่การศึกษาเลย เขต 2
หนองใหญ่,ต.ผาอินทร์แปลง อ.เอราวัณ จ.เลย 42220,เขตพื้นที่การศึกษาเลย เขต 2
หนองตูม,ต.ผาสามยอด อ.เอราวัณ จ.เลย 42220,เขตพื้นที่การศึกษาเลย เขต 2
ห้วยป่าน,ต.ผาสามยอด อ.เอราวัณ จ.เลย 42220,เขตพื้นที่การศึกษาเลย เขต 2
ห้วยเดื่อโคกสว่าง,ต.หนองหิน อ.หนองหิน จ.เลย 42190,เขตพื้นที่การศึกษาเลย เขต 2
ห้วยไผ่ใต้,ต.หนองหิน อ.หนองหิน จ.เลย 42190,เขตพื้นที่การศึกษาเลย เขต 2
ห้วยเดื่อน้อย,ต.ปวนพุ อ.หนองหิน จ.เลย 42190,เขตพื้นที่การศึกษาเลย เขต 2
ห้วยเป้าเหนือ,ต.ปวนพุ อ.หนองหิน จ.เลย 42180,เขตพื้นที่การศึกษาเลย เขต 2
ห้วยไผ่เหนือ,ต.ปวนพุ อ.หนองหิน จ.เลย 42190,เขตพื้นที่การศึกษาเลย เขต 2
หน่องหมากเเก้ว,ต.ปวนพุ อ.หนองหิน จ.เลย 42190,เขตพื้นที่การศึกษาเลย เขต 2
หนาด (คุรุราษฎร์อุทิศ),ต.โพธิ์ชัย อ.เมืองหนองคาย จ.หนองคาย 43000,เขตพื้นที่การศึกษาหนองคาย เขต 1
หมากก่องฝายแตก,ต.บ้านเดื่อ อ.เมืองหนองคาย จ.หนองคาย 43000,เขตพื้นที่การศึกษาหนองคาย เขต 1
หนองหมื่น,ต.ค่ายบกหวาน อ.เมืองหนองคาย จ.หนองคาย 43100,เขตพื้นที่การศึกษาหนองคาย เขต 1
หนองผือ,ต.พระธาตุบังพวน อ.เมืองหนองคาย จ.หนองคาย 43100,เขตพื้นที่การศึกษาหนองคาย เขต 1
หนองเดิ่น,ต.หนองกอมเกาะ อ.เมืองหนองคาย จ.หนองคาย 43000,เขตพื้นที่การศึกษาหนองคาย เขต 1
หนองบ่อ,ต.ปะโค อ.เมืองหนองคาย จ.หนองคาย 43000,เขตพื้นที่การศึกษาหนองคาย เขต 1
หนองแจ้ง,ต.เมืองหมี อ.เมืองหนองคาย จ.หนองคาย 43000,เขตพื้นที่การศึกษาหนองคาย เขต 1
หนองแวง,ต.น้ำโมง อ.ท่าบ่อ จ.หนองคาย 43110,เขตพื้นที่การศึกษาหนองคาย เขต 1
หงส์ทองสามขา,ต.กองนาง อ.ท่าบ่อ จ.หนองคาย 43110,เขตพื้นที่การศึกษาหนองคาย เขต 1
หนองผือ,ต.โคกคอน อ.ท่าบ่อ จ.หนองคาย 43110,เขตพื้นที่การศึกษาหนองคาย เขต 1
หนองนาง,ต.หนองนาง อ.ท่าบ่อ จ.หนองคาย 43110,เขตพื้นที่การศึกษาหนองคาย เขต 1
หนองเข็ง,ต.หอคำ อ.บึงกาฬ จ.หนองคาย 43140,เขตพื้นที่การศึกษาหนองคาย เขต 3
